order_id,source,application_datetime,gender,first_call,first_reach,operator_group_type,operator_group_name,trial_appointment_datetime,appointment_added_by_id,is_paid
10457322,a636bcf354a837fb5c25c3d5b940170b,2020-04-03 04:10:45,1.0,2020-04-03 16:43:59.508792,2020-04-03 22:11:27.455366,a170e8b5b0085420fa52f9f9e1d546f9,d4f622b69e50e86a65cd6fae4bcf575f,2020-04-04 15:28:14.798018,6620229,0
11236929,91ce888e6774bd668a675b5640499103,2020-07-12 03:31:39,,2020-07-12 04:47:12.312267,2020-07-12 07:05:38.094529,a170e8b5b0085420fa52f9f9e1d546f9,d4f622b69e50e86a65cd6fae4bcf575f,2020-07-12 15:02:07.545403,4578767,0
10246280,91ce888e6774bd668a675b5640499103,2020-02-01 03:19:28,,2020-02-04 04:45:20.910754,2020-02-04 10:42:35.204203,e908f62885515872936a2bf07e5960a0,a0b8ef7535f9201f77c5a97d2ba4db2b,2020-02-02 07:07:41.388133,6290758,0
11058994,a636bcf354a837fb5c25c3d5b940170b,2020-05-19 06:18:16,0.0,2020-05-19 07:18:45.609637,2020-05-19 08:39:54.048419,a170e8b5b0085420fa52f9f9e1d546f9,d4f622b69e50e86a65cd6fae4bcf575f,2020-05-19 13:01:02.901309,4700850,0
10265283,91ce888e6774bd668a675b5640499103,2020-02-09 21:59:18,,2020-02-10 09:14:45.941424,2020-02-10 20:01:01.297674,a170e8b5b0085420fa52f9f9e1d546f9,d4f622b69e50e86a65cd6fae4bcf575f,2020-02-11 05:33:59.680231,4500083,0
11391888,4502821cb71c7f2195cd4e542273fe38,2020-09-03 22:46:59,0.0,2020-09-03 23:00:16.098750,,a170e8b5b0085420fa52f9f9e1d546f9,d4f622b69e50e86a65cd6fae4bcf575f,2020-09-21 01:14:13.178574,3968432,1
10273626,91ce888e6774bd668a675b5640499103,2020-02-14 05:03:52,,2020-02-19 04:31:07.631685,2020-02-19 10:12:25.115611,e908f62885515872936a2bf07e5960a0,a0b8ef7535f9201f77c5a97d2ba4db2b,2020-02-15 07:31:47.111285,6215279,1
11733254,91ce888e6774bd668a675b5640499103,2020-11-06 16:10:19,,2020-11-07 22:03:47.779911,2020-11-08 01:25:22.614966,e908f62885515872936a2bf07e5960a0,a0b8ef7535f9201f77c5a97d2ba4db2b,2020-11-07 07:47:55.046769,4700301,0
11351155,91ce888e6774bd668a675b5640499103,2020-08-10 21:18:25,,2020-08-10 23:33:51.699656,2020-08-10 23:49:28.894191,a170e8b5b0085420fa52f9f9e1d546f9,d4f622b69e50e86a65cd6fae4bcf575f,2020-08-10 22:33:02.044346,6357787,1
10480644,91ce888e6774bd668a675b5640499103,2020-04-11 17:38:04,1.0,2020-04-11 20:21:28.672311,2020-04-12 00:24:45.477519,a170e8b5b0085420fa52f9f9e1d546f9,d4f622b69e50e86a65cd6fae4bcf575f,2020-04-12 13:17:15.117247,6418417,1
10274444,91ce888e6774bd668a675b5640499103,2020-02-06 03:15:28,1.0,2020-02-06 09:55:20.357912,2020-02-09 01:52:49.281256,a170e8b5b0085420fa52f9f9e1d546f9,d4f622b69e50e86a65cd6fae4bcf575f,2020-07-05 11:43:00.503925,5463507,0
10488120,b26ad2c2638544ba42dd2c16c77dd91a,2020-04-05 17:12:54,,2020-04-05 19:14:50.103635,2020-04-05 23:21:57.125363,a170e8b5b0085420fa52f9f9e1d546f9,d4f622b69e50e86a65cd6fae4bcf575f,2020-04-06 12:27:57.891760,6343172,1
10464191,91ce888e6774bd668a675b5640499103,2020-04-11 09:06:05,,2020-04-11 12:28:50.217408,2020-04-11 19:16:45.853054,a170e8b5b0085420fa52f9f9e1d546f9,d4f622b69e50e86a65cd6fae4bcf575f,2020-04-12 16:48:55.165794,6956477,1
11099395,91ce888e6774bd668a675b5640499103,2020-05-27 22:09:47,0.0,2020-07-18 21:23:45.527174,2021-02-20 02:08:41.085865,e908f62885515872936a2bf07e5960a0,a0b8ef7535f9201f77c5a97d2ba4db2b,2020-05-27 23:36:18.068327,5962808,1
11070398,91ce888e6774bd668a675b5640499103,2020-05-24 15:06:54,,2020-05-24 18:15:17.656799,2020-05-24 21:31:30.763579,a170e8b5b0085420fa52f9f9e1d546f9,d4f622b69e50e86a65cd6fae4bcf575f,2020-05-26 10:51:17.636184,6956602,1
11480442,a636bcf354a837fb5c25c3d5b940170b,2020-09-11 22:15:44,1.0,2021-01-24 08:24:55.990274,2021-01-24 10:21:13.312121,e908f62885515872936a2bf07e5960a0,a0b8ef7535f9201f77c5a97d2ba4db2b,2020-09-12 07:16:37.659753,6550293,0
11409858,91ce888e6774bd668a675b5640499103,2020-09-03 00:05:43,1.0,2020-10-14 20:37:14.987278,2020-10-15 04:15:04.792515,a170e8b5b0085420fa52f9f9e1d546f9,d4f622b69e50e86a65cd6fae4bcf575f,2020-09-04 11:35:11.535984,1554289,0
10395878,91ce888e6774bd668a675b5640499103,2020-03-13 22:52:38,,2020-03-14 03:00:43.329540,2020-03-14 11:26:13.337645,a170e8b5b0085420fa52f9f9e1d546f9,d4f622b69e50e86a65cd6fae4bcf575f,2020-03-15 17:12:25.805142,6418417,0
